lga_name, adm_canc_all_1_count, lga_code, ste_name, adm_dig_all_2_asr, adm_canc_all_2_asr, adm_ment_all_1_count, adm_dig_all_1_count, adm_ment_all_2_asr
"Penrith (C)",3349,16350,"nsw",3799.0,2140.7,3681,6613,2034.3
"Pittwater (A)",2090,16370,"nsw",3812.8,2935.4,1037,2489,1705.9
"Port Macquarie-Hastings (A)",2338,16380,"nsw",4075.7,2147.1,1207,3622,1576.8
"Port Stephens (A)",1755,16400,"nsw",3370.3,2097.4,1026,2509,1518.8
"Queanbeyan (C)",608,16470,"nsw",2993.3,1698.7,439,1161,1081.0
"Randwick (C)",3552,16550,"nsw",4008.3,2765.2,3764,5450,2578.9
"Richmond Valley (A)",783,16610,"nsw",4049.9,2707.5,265,1017,1187.8
"Rockdale (C)",2477,16650,"nsw",3395.5,2384.4,1220,3548,1124.3
"Ryde (C)",2193,16700,"nsw",3452.4,2013.8,2291,3800,2013.8
"Shellharbour (C)",1407,16900,"nsw",4504.4,2076.8,811,3013,1246.6
"Shoalhaven (C)",2889,16950,"nsw",3925.4,2128.2,1299,4440,1318.8
"Singleton (A)",547,17000,"nsw",4459.8,2688.2,204,1006,868.2
"Snowy River (A)",116,17050,"nsw",2838.8,1330.7,76,241,940.1
"Tamworth Regional (A)",1641,17310,"nsw",4169.1,2505.7,648,2550,1132.0
"Strathfield (A)",548,17100,"nsw",3084.1,1723.8,713,1103,1807.9
"Sutherland Shire (A)",6707,17150,"nsw",4150.1,2902.2,3011,9331,1362.4
"Sydney (C)",3267,17200,"nsw",2951.1,2284.7,3977,5274,1796.0
"Quilpie (S)",null,36150,"qld",4638.5,null,null,48,null
"Temora (A)",206,17350,"nsw",5476.9,2681.0,null,369,null
"Tenterfield (A)",215,17400,"nsw",3974.2,2224.7,null,323,null
"The Hills Shire (A)",3716,17420,"nsw",3949.7,2164.1,4089,6985,2319.1
"Tumbarumba (A)",192,17450,"nsw",9999.2,4195.3,null,399,null
"Tumut Shire (A)",482,17500,"nsw",7055.5,3469.9,357,876,3133.4
"Tweed (A)",3307,17550,"nsw",4476.5,2716.4,1473,4551,1638.9
"Upper Hunter Shire (A)",483,17620,"nsw",4746.3,3021.5,169,716,1179.5
"Upper Lachlan Shire (A)",165,17640,"nsw",3120.6,1705.3,75,266,989.0
"Uralla (A)",134,17650,"nsw",3724.6,1842.9,null,251,null
"Urana (A)",49,17700,"nsw",4587.7,2954.6,null,64,null
"Wagga Wagga (C)",1589,17750,"nsw",5469.2,2663.2,651,3305,1089.7
"Wakool (A)",146,17800,"nsw",4112.3,2565.6,null,198,null
"Walcha (A)",80,17850,"nsw",4092.9,2050.6,null,143,null
"Walgett (A)",113,17900,"nsw",4394.3,1485.6,142,317,2113.7
"Warren (A)",56,17950,"nsw",3846.7,1751.6,null,116,null
"Warringah (A)",4234,18000,"nsw",3658.0,2731.8,2952,5516,1955.1
"Warrumbungle Shire (A)",254,18020,"nsw",3997.2,2036.6,122,435,1264.2
"Waverley (A)",1948,18050,"nsw",4503.5,3166.1,1731,2968,2354.4
"Weddin (A)",104,18100,"nsw",3970.1,2055.0,62,172,1640.8
"Wellington (A)",204,18150,"nsw",3265.4,1902.4,122,316,1371.2
"Wentworth (A)",189,18200,"nsw",3535.1,2261.2,null,266,null
"Willoughby (C)",1545,18250,"nsw",3202.6,2264.7,1407,2225,1963.3
"Wingecarribee (A)",1509,18350,"nsw",4747.6,2435.2,687,2488,1505.5
"Wollondilly (A)",885,18400,"nsw",3918.1,2063.1,591,1745,1338.9
"Wollongong (C)",4849,18450,"nsw",3776.2,2201.0,2715,7958,1322.3
"Woollahra (A)",1948,18500,"nsw",4750.0,3327.5,1463,2719,2474.8
"Wyong (A)",3539,18550,"nsw",3838.8,1953.9,2400,6296,1577.9
"Yass Valley (A)",302,18710,"nsw",2793.9,1781.3,207,458,1315.1
"Young (A)",410,18750,"nsw",4759.5,2638.3,175,656,1413.8
"Unincorporated NSW",null,19399,"nsw",null,null,null,null,null
"Alpine (S)",400,20110,"vic",3564.7,2387.2,null,505,null
"Ararat (RC)",356,20260,"vic",4368.3,2328.2,null,573,null
"Ballarat (C)",2579,20570,"vic",4272.6,2618.3,730,4143,769.8
"Banyule (C)",4430,20660,"vic",5452.5,3392.4,1353,6864,1088.7
"Bass Coast (S)",1317,20740,"vic",3911.9,3062.7,363,1401,1153.0
"Baw Baw (S)",1355,20830,"vic",3011.4,2661.9,457,1419,1043.4
"Bayside (C)",4197,20910,"vic",5167.1,3764.3,1476,5273,1541.9
"Benalla (RC)",696,21010,"vic",4485.4,3717.1,null,710,null
"Boroondara (C)",5604,21110,"vic",4841.6,3282.4,3132,8207,1852.3
"Brimbank (C)",3710,21180,"vic",4111.9,2109.2,1809,7702,933.1
"Buloke (S)",224,21270,"vic",4224.1,2399.2,null,321,null
"Campaspe (S)",1551,21370,"vic",4605.9,3377.8,350,1871,954.2
"Cardinia (S)",1927,21450,"vic",4544.6,2806.7,1158,3396,1510.4
"Casey (C)",5296,21610,"vic",4611.6,2496.6,4073,11218,1576.8
"Central Goldfields (S)",475,21670,"vic",4223.4,2537.9,null,640,null
"Colac-Otway (S)",718,21750,"vic",4403.5,2817.6,145,1002,694.4
"Corangamite (S)",576,21830,"vic",4224.2,2779.9,null,770,null
"Darebin (C)",3905,21890,"vic",4072.3,2790.9,1773,5756,1185.1
"East Gippsland (S)",1511,22110,"vic",3784.9,2422.5,415,1942,949.0
"Frankston (C)",3747,22170,"vic",4906.4,2898.5,2644,6393,2017.6
"Gannawarra (S)",363,22250,"vic",4224.2,2399.3,null,522,null
"Glenelg (S)",602,22410,"vic",4619.4,2468.0,170,1011,846.0
"Golden Plains (S)",637,22490,"vic",5205.1,3251.0,154,1027,807.7
"Greater Bendigo (C)",3222,22620,"vic",4455.7,2897.9,1127,4738,1105.8
"Greater Dandenong (C)",2962,22670,"vic",4261.2,2091.6,2864,6149,1936.5
"Greater Geelong (C)",6449,22750,"vic",4407.2,2641.7,2221,10079,1012.7
"Greater Shepparton (C)",1784,22830,"vic",4190.8,2736.0,532,2651,869.8
"Hepburn (S)",430,22910,"vic",4285.9,2232.3,120,717,805.1
"Hindmarsh (S)",253,22980,"vic",4224.6,2976.1,null,293,null
"Hobsons Bay (C)",2233,23110,"vic",4412.2,2558.2,750,3887,826.7
"Horsham (RC)",603,23190,"vic",4582.6,2641.5,107,955,547.2
"Hume (C)",3848,23270,"vic",4460.7,2707.3,1620,7254,944.6
"Indigo (S)",634,23350,"vic",4103.0,3343.8,142,699,915.4
"Kingston (C)",4617,23430,"vic",4777.6,2869.8,2701,7360,1766.9
"Knox (C)",4642,23670,"vic",5164.3,3055.1,2967,7969,1917.4
"Latrobe (C)",1653,23810,"vic",4064.4,2056.1,956,3111,1309.4
"Loddon (S)",323,23940,"vic",4075.0,2787.3,null,380,null
"Macedon Ranges (S)",1193,24130,"vic",4638.0,2618.1,328,2065,772.2
"Glen Eira (C)",4651,22310,"vic",4437.7,3327.4,2242,6137,1589.6
"Manningham (C)",3853,24210,"vic",4656.5,2706.3,1527,5951,1280.6
"Mansfield (S)",235,24250,"vic",4099.5,2285.4,87,374,1073.2
"Maribyrnong (C)",1280,24330,"vic",3510.6,2063.0,716,2506,880.1
"Maroondah (C)",3234,24410,"vic",4825.4,2963.2,2103,5207,1946.9
"Melbourne (C)",1646,24600,"vic",3058.1,2460.3,1004,2918,838.9
"Melton (S)",2049,24650,"vic",4695.0,2506.3,932,4765,830.2
"Mildura (RC)",1406,24780,"vic",4409.1,2453.1,566,2379,1109.4
"Mitchell (S)",1121,24850,"vic",4486.4,3040.0,258,1644,722.7
"Moira (S)",1164,24900,"vic",4192.8,3004.5,235,1374,813.8
"Monash (C)",5171,24970,"vic",4410.5,2641.2,3207,8288,1719.5
"Moonee Valley (C)",3202,25060,"vic",4628.5,2724.8,1237,5300,1070.0
"Moorabool (S)",807,25150,"vic",4791.9,2724.6,202,1422,699.5
"Moreland (C)",3869,25250,"vic",4189.4,2583.0,1743,6390,1067.6
"Mornington Peninsula (S)",6459,25340,"vic",4842.4,3286.6,2002,8156,1327.3
"Mount Alexander (S)",617,25430,"vic",4324.8,2509.3,263,908,1412.7
"Moyne (S)",512,25490,"vic",3780.3,2780.9,null,646,null
"Murrindindi (S)",542,25620,"vic",5033.8,3279.6,111,751,807.6
"Nillumbik (S)",1457,25710,"vic",4254.1,2551.2,444,2604,726.2
"Northern Grampians (S)",358,25810,"vic",4407.0,2281.7,89,603,721.1
"Port Phillip (C)",2406,25900,"vic",3965.8,2825.9,1567,3788,1407.8
"Pyrenees (S)",258,25990,"vic",4337.2,2607.6,null,357,null
"Queenscliffe (B)",117,26080,"vic",4542.9,3058.5,32,154,1055.9
"South Gippsland (S)",971,26170,"vic",3148.4,2697.0,292,984,1049.2
"Southern Grampians (S)",435,26260,"vic",4258.3,2109.6,null,770,null
"Stonnington (C)",2897,26350,"vic",4164.8,2946.1,1740,4174,1627.9
"Strathbogie (S)",493,26430,"vic",4884.1,3317.0,87,585,852.4
"Surf Coast (S)",789,26490,"vic",3832.2,2746.4,146,1074,538.8
"Swan Hill (RC)",589,26610,"vic",4241.6,2521.9,null,931,null
"Towong (S)",223,26670,"vic",3642.9,2677.6,null,256,null
"Wangaratta (RC)",915,26700,"vic",4368.3,2729.4,233,1295,862.9
"Warrnambool (C)",1268,26730,"vic",4226.5,3629.9,289,1419,891.5
"Wellington (S)",1100,26810,"vic",4391.8,2217.2,422,2006,992.3
"West Wimmera (S)",185,26890,"vic",4223.4,2975.7,null,214,null
